Player Name,Team,Pos,Games,G,A,Pts,+/-,PIM,SOG,GWG,PPG,PPA,SHG,SHA,Hits,BS
Jimmy Vesey,NYR,LW,12,3,0,3,-4,7,26,0,1,0,0,0,8,5
Jean-Sebastien Dea,NJ,C,9,3,0,3,1,2,15,1,0,0,0,0,7,6
Thomas Chabot,OTT,D,11,3,10,13,1,8,21,1,1,2,0,0,13,13
Jake DeBrusk,BOS,LW,12,3,0,3,2,4,29,1,1,0,0,0,9,0
Joonas Donskoi,SJ,RW,12,3,5,8,3,2,22,1,1,2,0,0,11,10
Vince Dunn,STL,D,8,3,3,6,-2,4,20,0,2,1,0,0,6,8
Warren Foegele,CAR,LW,12,3,2,5,-3,4,31,0,0,0,0,0,18,2
Jakub Vrana,WAS,RW,10,3,2,5,5,12,24,0,0,0,0,0,5,4
Pavel Buchnevich,NYR,LW,10,3,2,5,2,0,12,0,1,0,0,0,5,4
Vinnie Hinostroza,ARI,C,11,3,3,6,0,4,27,1,0,2,0,0,4,5
Charles Hudon,MON,LW,8,2,1,3,-2,6,13,0,0,1,0,0,17,0
Joakim Nordstrom,BOS,C,11,2,0,2,1,2,21,0,0,0,0,0,13,9
Ben Chiarot,WPG,D,13,2,2,4,1,26,12,0,0,0,0,0,24,20
Alex Tuch,VGK,RW,4,2,1,3,2,0,19,0,0,1,0,0,7,2
Sam Bennett,CGY,LW,13,2,1,3,0,8,19,0,0,0,0,0,31,4
Chris Wideman,OTT,D,11,2,2,4,-5,8,9,1,0,0,0,0,18,15
Travis Konecny,PHI,C,12,2,3,5,0,6,22,0,1,0,0,0,11,4
Colin White,OTT,C,11,2,4,6,-1,6,17,0,1,0,0,0,6,5
Brock Boeser,VAN,RW,12,2,5,7,-2,8,29,2,0,3,0,0,4,2
Lawson Crouse,ARI,LW,11,2,0,2,3,18,24,0,0,0,1,0,26,4
Zach Werenski,CLS,D,11,2,6,8,-1,6,25,0,1,3,0,0,3,12
Garnet Hathaway,CGY,RW,9,2,0,2,2,4,7,1,0,0,0,0,31,4
Colton Parayko,STL,D,10,2,2,4,1,4,20,0,1,1,0,0,17,19
Ben Hutton,VAN,D,12,2,0,2,-3,10,16,0,0,0,0,0,13,19
Dylan Strome,ARI,C,10,2,0,2,-3,4,21,1,2,0,0,0,1,3
Leo Komarov,NYI,LW,11,2,2,4,1,6,12,0,0,0,0,0,33,7
Hampus Lindholm,ANH,D,13,2,6,8,-1,2,20,0,0,2,0,0,20,29
Alex Killorn,TB,C,11,2,1,3,-5,8,26,0,1,1,0,0,15,4
Markus Granlund,VAN,C,14,2,3,5,4,8,23,0,0,0,0,0,11,6
Matt Nieto,COL,LW,12,2,1,3,-3,4,18,1,0,0,0,0,7,6
Jason Dickinson,DAL,C,9,2,2,4,1,4,16,0,0,0,0,0,12,2
Robert Hagg,PHI,D,12,2,4,6,1,12,22,1,0,0,0,0,40,18
Brett Pesce,CAR,D,12,2,1,3,8,4,19,0,0,0,0,0,14,25
Damon Severson,NJ,D,9,2,5,7,-2,6,14,0,1,0,0,0,14,6
Devin Shore,DAL,C,11,2,6,8,3,0,9,1,0,1,1,0,10,5
Radek Faksa,DAL,C,11,2,2,4,0,9,12,0,0,0,0,1,9,11
Chris Tierney,OTT,C,11,2,9,11,2,6,19,0,0,4,0,0,4,10
