Player Name,Team,Pos,Games,G,A,Pts,+/-,PIM,SOG,GWG,PPG,PPA,SHG,SHA,Hits,BS
Johnny Boychuk,NYI,D,11,0,1,1,2,2,22,0,0,0,0,1,19,20
Chris Kunitz,CHI,LW,12,0,2,2,-5,2,13,0,0,0,0,0,17,1
Sheldon Dries,COL,C,4,0,0,0,0,4,6,0,0,0,0,0,7,2
Sean Walker,LA,D,3,0,1,1,-3,0,5,0,0,0,0,0,1,2
Juuso Riikola,PIT,D,6,0,0,0,-3,4,7,0,0,0,0,0,15,10
Ilya Lyubushkin,ARI,D,4,0,0,0,-2,4,2,0,0,0,0,0,15,2
Bogdan Kiselevich,FLA,D,8,0,1,1,-1,2,3,0,0,0,0,0,5,7
Christian Wolanin,OTT,D,1,0,0,0,-1,0,0,0,0,0,0,0,0,2
Cooper Marody,EDM,C,2,0,0,0,0,0,4,0,0,0,0,0,0,0
Sheldon Rempal,LA,LW,3,0,0,0,-1,0,2,0,0,0,0,0,0,1
Jesperi Kotkaniemi,MON,C,11,0,4,4,1,6,17,0,0,1,0,0,9,3
Isac Lundestrom,ANH,LW,11,0,1,1,0,2,12,0,0,0,0,0,2,4
Igor Ozhiganov,TOR,D,10,0,0,0,-3,4,8,0,0,0,0,0,12,11
Mario Kempe,ARI,LW,4,0,0,0,0,0,4,0,0,0,0,0,8,3
Filip Chytil,NYR,C,12,0,2,2,-1,2,17,0,0,0,0,0,1,3
Urho Vaakanainen,BOS,D,2,0,0,0,-1,0,2,0,0,0,0,0,0,0
Libor Sulak,DET,D,6,0,0,0,-4,6,7,0,0,0,0,0,18,5
Christian Jaros,OTT,D,7,0,1,1,1,2,7,0,0,0,0,0,12,13
Maxim Mamin,FLA,LW,5,0,0,0,0,5,6,0,0,0,0,0,8,1
Jan Rutta,CHI,D,11,0,3,3,-2,4,14,0,0,0,0,0,9,15
Henri Jokiharju,CHI,D,13,0,7,7,4,4,36,0,0,0,0,0,20,14
Troy Terry,ANH,C,6,0,0,0,-1,0,4,0,0,0,0,0,2,4
Adam Gaudette,VAN,C,8,0,1,1,0,0,7,0,0,0,0,0,6,3
Zach Hyman,TOR,RW,12,0,6,6,3,8,19,0,0,0,0,0,22,8
Joel Eriksson Ek,MIN,C,6,0,0,0,0,0,10,0,0,0,0,0,10,3
Denis Malgin,FLA,C,8,0,3,3,0,4,8,0,0,0,0,0,6,4
Andreas Martinsen,CHI,LW,5,0,0,0,-1,6,3,0,0,0,0,0,14,0
Casey Nelson,BUF,D,10,0,1,1,2,2,8,0,0,0,0,0,8,11
Matt Benning,EDM,D,7,0,1,1,-2,2,10,0,0,0,0,0,12,7
Nick Seeler,MIN,D,12,0,0,0,0,9,14,0,0,0,0,0,13,19
Mikhail Sergachev,TB,D,11,0,4,4,2,2,15,0,0,3,0,0,10,18
Nikita Zaitsev,TOR,D,12,0,2,2,-3,2,9,0,0,0,0,0,24,22
Luke Johnson,CHI,C,8,0,1,1,-4,8,10,0,0,1,0,0,17,4
Michal Kempny,WAS,D,8,0,1,1,4,12,9,0,0,0,0,0,11,11
Robert Thomas,STL,C,6,0,1,1,-1,0,3,0,0,0,0,0,0,3
Jaret Anderson-Dolan,LA,C,5,0,1,1,-2,0,6,0,0,0,0,0,5,2
Kristian Vesalainen,WPG,LW,5,0,1,1,0,0,1,0,0,0,0,0,1,1
Oscar Fantenberg,LA,D,4,0,0,0,-3,0,7,0,0,0,0,0,5,4
Jakub Jerabek,STL,D,1,0,0,0,-3,2,1,0,0,0,0,0,0,1
Neal Pionk,NYR,D,10,0,6,6,-8,2,19,0,0,5,0,0,20,26
Vinni Lettieri,NYR,C,8,0,0,0,-5,4,11,0,0,0,0,0,14,7
Christoffer Ehn,DET,C,9,0,1,1,2,4,7,0,0,0,0,0,11,3
Jordan Kyrou,STL,RW,9,0,1,1,-3,2,12,0,0,0,0,0,2,2
Victor Mete,MON,D,9,0,0,0,1,2,8,0,0,0,0,0,1,10
Tage Thompson,BUF,RW,9,0,1,1,-2,2,12,0,0,0,0,0,14,1
Dillon Dube,CGY,C,12,0,2,2,2,0,16,0,0,0,0,0,9,2
Mathieu Joseph,TB,RW,11,0,1,1,-2,2,21,0,0,0,0,1,21,1
Kevin Rooney,NJ,C,3,0,0,0,-1,7,0,0,0,0,0,0,5,1
Dylan Gambrell,SJ,C,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Joey Anderson,NJ,RW,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Tanner Fritz,NYI,LW,2,0,1,1,0,0,2,0,0,0,0,0,2,3
